timestamps,VbINP_IVPresent_flg,VeAGSM_ConftPathValid_enum,VeINP_IVClass,VfAGSM_1ConftPathLength_m,VfAGSM_1ConftPathTypC3_co,VfAGSM_2ConftPathLength_m,VfAGSM_2ConftPathTypC3_co,VfAGSM_3ConftPathLength_m,VfAGSM_3ConftPathTypC3_co,VfAGSM_ConftPathTypC0_m,VfAGSM_ConftPathTypC1_rad,VfAGSM_ConftPathTypC2_co,VfAGSM_LHLaneMkr0C0_m,VfAGSM_LHLaneMkr0C1_rad,VfAGSM_LHLaneMkr0C2_co,VfAGSM_LHLaneMkr0C3_co,VfAGSM_LHLaneMkr0EdRange_m,VfAGSM_LHLaneMkr0StRange_m,VfAGSM_LHLaneMkr1C0_m,VfAGSM_LHLaneMkr1C1_rad,VfAGSM_LHLaneMkr1C2_co,VfAGSM_LHLaneMkr1C3_co,VfAGSM_LHLaneMkr1EdRange_m,VfAGSM_LHLaneMkr1StRange_m,VfAGSM_VehicleSpd_mps,VfINP_IVAcc_mpss,VfINP_IVHeading_rad,VfINP_IVLaDis_m,VfINP_IVLaSpd_mps,VfINP_IVLgDis_m,VfINP_IVV_mps
1.394017802,0,1,0,25.71235657,-1.39E-06,40,-6.75E-07,51.43409348,0,-0.138778925,0.008470864,-7.49E-06,-1.461132288,-0.008666992,2.77E-05,9.81E-07,57.42999268,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.419858533,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,51.68969727,0,-0.138108611,0.00849976,-7.50E-06,-1.461130977,-0.00879097,2.77E-05,9.81E-07,57.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.454395482,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,51.68699265,0,-0.138202727,0.008518176,-7.51E-06,-1.461130977,-0.00879097,2.77E-05,9.81E-07,57.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.483725096,0,1,0,25.71235657,-1.37E-06,40,-6.74E-07,51.68159866,0,-0.13838914,0.008538336,-7.52E-06,-1.461130977,-0.00879097,2.77E-05,9.81E-07,57.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.514971098,0,1,0,25.71235657,-1.38E-06,40,-6.71E-07,51.4088974,0,-0.139375776,0.008488051,-7.53E-06,-1.461116195,-0.008602142,2.77E-05,9.81E-07,54.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.540669874,0,1,0,25.71235657,-1.39E-06,40,-6.70E-07,51.13619232,0,-0.13919811,0.008455536,-7.54E-06,-1.461116195,-0.008602142,2.77E-05,9.81E-07,54.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.569446666,0,1,0,25.71235657,-1.39E-06,40,-6.69E-07,50.86439514,0,-0.139007404,0.008433875,-7.55E-06,-1.461116195,-0.008602142,2.77E-05,9.81E-07,54.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.598917236,0,1,0,25.71235657,-1.39E-06,40,-6.69E-07,50.59259796,0,-0.138875365,0.008419169,-7.56E-06,-1.461116195,-0.008602142,2.77E-05,9.81E-07,54.41000366,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.623876249,0,1,0,25.71235657,-1.39E-06,40,-6.68E-07,50.32079697,0,-0.13878724,0.008408978,-7.57E-06,-1.461093187,-0.008432388,2.77E-05,9.81E-07,57.20001221,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.654481455,0,1,0,25.71235657,-1.40E-06,40,-6.73E-07,50.28120041,0,-0.139363423,0.008316308,-7.59E-06,-1.461093187,-0.008432388,2.77E-05,9.81E-07,57.20001221,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.685174634,0,1,0,25.71235657,-1.40E-06,40,-6.73E-07,50.2623024,0,-0.139147639,0.008291125,-7.60E-06,-1.461093187,-0.008432388,2.77E-05,9.81E-07,57.20001221,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.712339941,0,1,0,25.71235657,-1.40E-06,40,-6.72E-07,50.24340057,0,-0.138998926,0.008273462,-7.61E-06,-1.461093187,-0.008432388,2.77E-05,9.81E-07,57.20001221,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.740415957,0,1,0,25.71235657,-1.41E-06,40,-6.73E-07,50.22990036,0,-0.140186146,0.008188632,-7.62E-06,-1.461013079,-0.008185387,2.77E-05,9.81E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.766045756,0,1,0,25.71235657,-1.41E-06,40,-6.73E-07,50.4864006,0,-0.139848098,0.008132535,-7.62E-06,-1.461013079,-0.008185387,2.77E-05,9.81E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.796972859,0,1,0,25.71235657,-1.41E-06,40,-6.72E-07,50.74290085,0,-0.139524326,0.008094086,-7.63E-06,-1.461013079,-0.008185387,2.77E-05,9.81E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
